bran¿a;lokalizacja;p³eæ;15-24 lat;25-34 lat;35-44 lat;45-54 lat;55-64 lat;65 i wiêcej lat
Rolnictwo, ³owiectwo i leœnictwo;miasta;M;9223;18168;26442;31696;13427;7736
rybo³ówstwo i rybactwo;miasta;mê¿czyŸni;258;984;1558;2421;380;64
Górnictwo i kopalnictwo;miasta;M;3722;37409;69346;35418;4618;181
Przetwórstwo przemys³oWE;miasta;M;106368;295239;263605;289759;69358;9886
Wytwarzanie i zaopatrywanie   w energiê elektryczn¹, gaz i wodê;miasta;M;3510;28297;40201;41854;12027;706
Budownictwo;miasta;M;35804;107884;125163;142197;30423;3854
Handel i naprawy;miasta;M;93963;221295;161881;141239;37400;8457
Hotele i restauracje;miasta;M;16108;18634;11839;10175;3262;708
Transport, gospodarka magazynowa   i ³¹cznoœæ;miasta;mê¿czyŸni;22506;107026;130785;136846;33182;4505
Poœrednictwo finansowe;miasta;M;7295;32795;18957;15166;5356;871
"Obs³uga nieruchomoœci i firm; nauka";miasta;M;30423;91876;67308;84737;41120;10791
"Administracja publiczna i obrona narodowa; obowi¹zkowe ubezpieczenia spo³eczne i zdrowotne";miasta;M;44186;116622;97454;64114;20848;3585
EdukacjA;miasta;M;5839;38820;41176;50760;28373;8795
Ochrona zdrowia i opieka spo³eczna;miasta;M;5852;29604;36281;32845;13861;6393
Pozosta³a dzia³alnoœæ us³ugowa komunalna, spo³eczna i indywidualna;miasta;M;12295;39450;41215;42883;17830;6245
Gospodarstwa domowe zatrudniaj¹ce pracowników;miasta;M;17;36;50;48;26;6
Organizacje i zespo³y eksterytorialne;miasta;M;3;17;22;19;10;2
Nieustalony rodzaj dzia³alnoœci;miasta;M;2648;4155;3927;4201;1676;959
Rolnictwo, ³owiectwo i leœnictwo;miasta;K;4771;11418;19136;23377;8199;5562
Rybo³ówstwo i rybactwo;miasta;K;29;104;220;347;51;10
GórNIctwo i kopalnictwo;miasta;K;225;3216;7631;9218;725;23
Przetwórstwo przemys³owe;miasta;kobiety;49298;163780;185379;186816;22063;3181
Wytwarzanie i zaopatrywanie   w energiê elektryczn¹, gaz i wodê;miasta;K;1057;6684;12730;17994;2345;91
Budownictwo;miasta;K;4648;14713;15745;23663;3717;465
Handel i naprawy;miasta;K;120488;219034;182748;174343;35515;7325
hotele i restauracje;miasta;K;23344;27351;25853;27705;5084;820
Transport, gospodarka magazynowa   i ³¹cznoœæ;miasta;K;12373;43327;53029;57816;6487;559
Poœrednictwo finansowe;miasta;K;16210;57493;44461;44940;5523;450
"Obs³uga nieruchomoœci i firm; nauka";miasta;K;23382;67867;69649;91540;20059;3577
"Administracja publiczna i obrona narodowa; obowi¹zkowe ubezpieczenia spo³eczne i zdrowotne";miasta;K;34286;82636;85841;101899;18834;1483
EDUKACJA;miasta;kobiety;17451;122633;155610;154808;37544;4062
